Designator,Footprint,Quantity,Value,LCSC Part #
C1,C0805,1,100n 10V,C2168659
J1,4-Row_Header_2.54mm,1,HB-PH3-25414PB2GOP,C6332197
J3,6-Row_Header_2.54mm,1,HB-PH3-25416PB2GOP,C6332199
J4,8-Row_Header_2.54mm,1,HB-PH3-25418PB2GOP,C6332201
R1,R0805,1,0R008,C728269
"SW1, SW2",SS-12D10L5,2,SS-12D10L5,C319012
U1,SC70-6,1,INA214AIDCKT,C105240
